filename,face_w,face_h,score,sharpness,recommended_det_set,hint
H250111_01_01.JPG,-,-,-,13.43,bad,no face detected
H180043_01_01.JPG,-,-,-,21.24,bad,no face detected
H210261.JPG,-,-,-,98.24,bad,no face detected
H210026_01_01.JPG,711,836,0.769,18.91,2048x2048,acceptable score; frontal & higher res helps; image blurry; stabilize camera
H170148.JPG,-,-,-,85.53,bad,no face detected
H250109.JPG,-,-,-,89.03,bad,no face detected
H220103.JPG,-,-,-,87.82,bad,no face detected
H170139_01_01.JPG,-,-,-,53.34,bad,no face detected
H220116.JPG,-,-,-,146.0,bad,no face detected
BISK085.png,-,-,-,31.49,bad,no face detected
H250123_01_01.JPG,-,-,-,21.88,bad,no face detected
H230066_01_01.JPG,-,-,-,68.36,bad,no face detected
H230061.JPG,-,-,-,109.92,bad,no face detected
H160023_01_01.JPG,604,749,0.824,94.86,2048x2048,acceptable score; frontal & higher res helps; slightly soft image; avoid motion blur
H18007900000_01_01.JPG,-,-,-,24.46,bad,no face detected
H23023100000_01_01.JPG,-,-,-,41.92,bad,no face detected
H230026_01_01.JPG,474,588,0.647,52.74,1024x1024,low score; try frontal face & better lighting; slightly soft image; avoid motion blur
H170055.JPG,-,-,-,144.04,bad,no face detected
H220022_01_01.JPG,-,-,-,23.59,bad,no face detected
H200014.JPG,-,-,-,18.94,bad,no face detected
H210001_01_01.JPG,697,952,0.505,24.74,2048x2048,very low detection score; improve lighting; non-frontal or tilted face; image blurry; stabilize camera
H180072.JPG,-,-,-,65.62,bad,no face detected
H220254_01_01.JPG,734,787,0.71,22.53,2048x2048,low score; try frontal face & better lighting; image blurry; stabilize camera
BISK419.png,-,-,-,84.39,bad,no face detected
H210260.JPG,-,-,-,198.64,bad,no face detected
H250061_01_01.JPG,-,-,-,11.41,bad,no face detected
H210108_01_01.JPG,729,855,0.725,24.36,2048x2048,low score; try frontal face & better lighting; image blurry; stabilize camera
H19005200000_01_01.JPG,-,-,-,24.09,bad,no face detected
H21001300000_01_01.JPG,-,-,-,25.81,bad,no face detected
H23015200000_01_01.JPG,461,555,0.743,109.46,1024x1024,low score; try frontal face & better lighting; sharp image
H23007000000_01_01.JPG,-,-,-,20.17,bad,no face detected
H230169_01_01.JPG,-,-,-,45.08,bad,no face detected
H230104.JPG,-,-,-,164.12,bad,no face detected
H250083_01_01.JPG,-,-,-,11.11,bad,no face detected
H170110.JPG,-,-,-,46.31,bad,no face detected
H220113_01_01.JPG,507,554,0.577,30.44,1024x1024,very low detection score; improve lighting; image blurry; stabilize camera
H210196.JPG,-,-,-,36.12,bad,no face detected
H190120_01_01.JPG,648,899,0.81,9.76,2048x2048,acceptable score; frontal & higher res helps; non-frontal or tilted face; image blurry; stabilize camera
H220247_01_01.JPG,699,917,0.722,64.27,2048x2048,low score; try frontal face & better lighting; slightly soft image; avoid motion blur
H200013.JPG,-,-,-,298.4,bad,no face detected
H250062.JPG,-,-,-,114.77,bad,no face detected
BISK-F08.png,-,-,-,56.03,bad,no face detected
H250060_01_01.JPG,-,-,-,27.38,bad,no face detected
H210172.jpg,-,-,-,52.21,bad,no face detected
H190056_01_01.JPG,-,-,-,24.44,bad,no face detected
H250054.JPG,-,-,-,115.83,bad,no face detected
H19010100000_01_01.JPG,-,-,-,30.19,bad,no face detected
H160055.JPG,-,-,-,86.02,bad,no face detected
H160133_01_01.JPG,615,761,0.821,42.72,2048x2048,acceptable score; frontal & higher res helps; image blurry; stabilize camera
H210111_01_01.JPG,639,771,0.838,13.21,2048x2048,acceptable score; frontal & higher res helps; image blurry; stabilize camera
H160108_01_01.JPG,580,713,0.796,65.15,2048x2048,acceptable score; frontal & higher res helps; slightly soft image; avoid motion blur
H19007500000_01_01.JPG,718,906,0.5,24.37,2048x2048,very low detection score; improve lighting; image blurry; stabilize camera
H190041_01_01.JPG,706,924,0.603,8.54,2048x2048,low score; try frontal face & better lighting; image blurry; stabilize camera
H250071.JPG,-,-,-,119.59,bad,no face detected
BISK020.png,-,-,-,1440.49,bad,no face detected
H220154.jpg,-,-,-,241.31,bad,no face detected
H140185.JPG,-,-,-,89.16,bad,no face detected
H210021.JPG,-,-,-,82.94,bad,no face detected
H250088_01_01.JPG,-,-,-,37.47,bad,no face detected
H23006500001_01_01.JPG,-,-,-,24.15,bad,no face detected
BISK411.png,-,-,-,19.98,bad,no face detected
H200091.JPG,-,-,-,102.3,bad,no face detected
H25002800000_01_01.JPG,-,-,-,13.52,bad,no face detected
H220304.JPG,-,-,-,202.51,bad,no face detected
H230154.JPG,-,-,-,113.62,bad,no face detected
H230177_01_01.JPG,-,-,-,20.89,bad,no face detected
BISK093.png,-,-,-,39.39,bad,no face detected
H210064.JPG,-,-,-,79.24,bad,no face detected
H250042.JPG,-,-,-,149.22,bad,no face detected
BISK418.png,-,-,-,218.76,bad,no face detected
H123456_1.jpg,-,-,-,126.79,bad,no face detected
BISK405.png,-,-,-,14.88,bad,no face detected
H150086.JPG,-,-,-,59.81,bad,no face detected
H250104_01_01.jpg,-,-,-,19.79,bad,no face detected
H140009.JPG,-,-,-,279.63,bad,no face detected
H25001500001_01_01.JPG,-,-,-,54.8,bad,no face detected
H170129.JPG,-,-,-,261.33,bad,no face detected
BISK021.png,-,-,-,41.97,bad,no face detected
H200008.JPG,-,-,-,80.65,bad,no face detected
H180091_01_01.JPG,-,-,-,65.53,bad,no face detected
H250046_01_01.JPG,-,-,-,49.85,bad,no face detected
H21019700000_01_01.JPG,-,-,-,14.88,bad,no face detected
H130524_01_01.JPG,692,950,0.684,74.81,2048x2048,low score; try frontal face & better lighting; non-frontal or tilted face; slightly soft image; avoid motion blur
H25010900004_01_01.JPG,-,-,-,32.07,bad,no face detected
H230137_01_01.JPG,-,-,-,49.55,bad,no face detected
H210018_01_01.JPG,753,857,0.642,21.12,2048x2048,low score; try frontal face & better lighting; image blurry; stabilize camera
H190001.JPG,-,-,-,124.51,bad,no face detected
H160090.JPG,-,-,-,58.67,bad,no face detected
H25007800000_01_01.JPG,-,-,-,32.38,bad,no face detected
H210065.JPG,-,-,-,135.25,bad,no face detected
H180125.JPG,-,-,-,95.9,bad,no face detected
BISK432.png,-,-,-,64.74,bad,no face detected
H210172_01_01.jpg,-,-,-,45.28,bad,no face detected
H250015.JPG,-,-,-,118.84,bad,no face detected
H160056_01_01.JPG,746,880,0.545,30.59,2048x2048,very low detection score; improve lighting; image blurry; stabilize camera
H250034.JPG,-,-,-,7.24,bad,no face detected
H220300_01_01.JPG,-,-,-,65.31,bad,no face detected
BISK074.png,-,-,-,259.43,bad,no face detected
H250003_01_01.JPG,-,-,-,28.64,bad,no face detected
H230097.JPG,-,-,-,68.98,bad,no face detected
H250095_01_01.JPG,-,-,-,26.54,bad,no face detected
BISK141.png,-,-,-,46.99,bad,no face detected
H230078.JPG,-,-,-,134.01,bad,no face detected
H220164.JPG,-,-,-,700.31,bad,no face detected
H230012.JPG,-,-,-,192.53,bad,no face detected
H250112.JPG,-,-,-,176.13,bad,no face detected
H170089_01_01.JPG,621,791,0.84,17.2,2048x2048,acceptable score; frontal & higher res helps; image blurry; stabilize camera
H230053.JPG,-,-,-,55.79,bad,no face detected
H20000121_01_01.JPG,702,898,0.716,61.66,2048x2048,low score; try frontal face & better lighting; slightly soft image; avoid motion blur
H180129_01_01.JPG,-,-,-,40.1,bad,no face detected
H230004_01_01.JPG,-,-,-,50.76,bad,no face detected
BISK376.png,-,-,-,60.81,bad,no face detected
H210094.JPG,-,-,-,210.76,bad,no face detected
BISK269.png,-,-,-,27.76,bad,no face detected
H220273.JPG,-,-,-,253.38,bad,no face detected
H220154_01_01.jpg,-,-,-,156.08,bad,no face detected
H230233.JPG,-,-,-,73.78,bad,no face detected
H130377_01_01.JPG,-,-,-,82.67,bad,no face detected
H220116_01_01.JPG,742,851,0.68,40.2,2048x2048,low score; try frontal face & better lighting; image blurry; stabilize camera
H220054.JPG,-,-,-,203.13,bad,no face detected
H210008_01_01.JPG,687,839,0.773,32.06,2048x2048,acceptable score; frontal & higher res helps; image blurry; stabilize camera
H210145.JPG,-,-,-,155.93,bad,no face detected
H130286.JPG,-,-,-,422.1,bad,no face detected
H210006.JPG,-,-,-,120.32,bad,no face detected
BISK404.png,-,-,-,56.58,bad,no face detected
H190040_01_01.JPG,555,766,0.844,94.41,2048x2048,acceptable score; frontal & higher res helps; non-frontal or tilted face; slightly soft image; avoid motion blur
H25001000000_01_01.JPG,-,-,-,25.3,bad,no face detected
H230093.JPG,-,-,-,71.32,bad,no face detected
BISK205.png,-,-,-,150.29,bad,no face detected
H250017.JPG,-,-,-,76.72,bad,no face detected
H230089_01_01.JPG,-,-,-,71.88,bad,no face detected
H230108_01_01.JPG,-,-,-,26.58,bad,no face detected
H230041_01_01.JPG,-,-,-,65.16,bad,no face detected
H230228.JPG,-,-,-,212.21,bad,no face detected
H220226_01_01.JPG,631,804,0.724,25.07,2048x2048,low score; try frontal face & better lighting; image blurry; stabilize camera
H230085.JPG,-,-,-,11.07,bad,no face detected
H220254.JPG,-,-,-,64.35,bad,no face detected
BISK002.png,-,-,-,64.55,bad,no face detected
H160024_01_01.JPG,584,773,0.852,68.64,2048x2048,good quality; slightly soft image; avoid motion blur
H210147_01_01.JPG,-,-,-,37.02,bad,no face detected
H220044.JPG,-,-,-,58.63,bad,no face detected
H220108.JPG,-,-,-,54.75,bad,no face detected
H210089_01_01.JPG,645,757,0.769,7.67,2048x2048,acceptable score; frontal & higher res helps; image blurry; stabilize camera
H250024.JPG,-,-,-,302.35,bad,no face detected
BISK374.png,-,-,-,109.48,bad,no face detected
H230084_01_01.JPG,722,910,0.58,26.2,2048x2048,very low detection score; improve lighting; image blurry; stabilize camera
H220268.JPG,-,-,-,330.16,bad,no face detected
H250047.JPG,-,-,-,126.41,bad,no face detected
H220096_01_01.JPG,694,759,0.728,20.6,2048x2048,low score; try frontal face & better lighting; image blurry; stabilize camera
H210246_01_01.JPG,683,876,0.799,33.94,2048x2048,acceptable score; frontal & higher res helps; image blurry; stabilize camera
H150104.JPG,-,-,-,134.42,bad,no face detected
H190023_01_01.JPG,-,-,-,12.46,bad,no face detected
H220279.JPG,-,-,-,91.24,bad,no face detected
H140189_01_01.JPG,634,805,0.848,57.86,2048x2048,acceptable score; frontal & higher res helps; slightly soft image; avoid motion blur
H220278.JPG,-,-,-,54.62,bad,no face detected
BISK430.JPG,-,-,-,693.49,bad,no face detected
H250009_01_01.JPG,707,880,0.65,59.21,2048x2048,low score; try frontal face & better lighting; slightly soft image; avoid motion blur
H230007_01_01.JPG,679,880,0.722,55.2,2048x2048,low score; try frontal face & better lighting; slightly soft image; avoid motion blur
H230082.JPG,-,-,-,106.36,bad,no face detected
H210252_01_01.JPG,-,-,-,19.73,bad,no face detected
H230317_01_01.JPG,-,-,-,39.42,bad,no face detected
H220314_01_01.JPG,-,-,-,44.97,bad,no face detected
H210230.JPG,-,-,-,63.06,bad,no face detected
H210180_01_01.JPG,734,907,0.504,21.34,2048x2048,very low detection score; improve lighting; image blurry; stabilize camera
H230088_01_01.JPG,-,-,-,15.37,bad,no face detected
H140235.JPG,-,-,-,149.64,bad,no face detected
H170001.JPG,-,-,-,166.04,bad,no face detected
H220133.JPG,-,-,-,230.98,bad,no face detected
H220064.JPG,-,-,-,184.57,bad,no face detected
BISK339.png,-,-,-,1.21,bad,no face detected
BISK426.png,-,-,-,116.07,bad,no face detected
H230017_01_01.JPG,-,-,-,59.83,bad,no face detected
H250035.JPG,-,-,-,76.9,bad,no face detected
H220313.JPG,-,-,-,366.87,bad,no face detected
H250089.JPG,-,-,-,83.01,bad,no face detected
H250012.JPG,-,-,-,60.26,bad,no face detected
H210250.JPG,-,-,-,269.19,bad,no face detected
H220037.JPG,-,-,-,168.03,bad,no face detected
H250090.JPG,-,-,-,91.89,bad,no face detected
H230048.JPG,-,-,-,43.56,bad,no face detected
BISK241.png,-,-,-,66.51,bad,no face detected
H150065_01_01.JPG,683,890,0.736,57.67,2048x2048,low score; try frontal face & better lighting; slightly soft image; avoid motion blur
H200091_01_01.JPG,744,888,0.628,27.8,2048x2048,low score; try frontal face & better lighting; image blurry; stabilize camera
H160090_01_01.JPG,709,865,0.707,25.31,2048x2048,low score; try frontal face & better lighting; image blurry; stabilize camera
H25006700000_01_01.JPG,-,-,-,95.7,bad,no face detected
H210041.JPG,-,-,-,67.9,bad,no face detected
H220196.JPG,-,-,-,96.34,bad,no face detected
H180105.JPG,-,-,-,71.33,bad,no face detected
H250068_01_01.JPG,-,-,-,42.72,bad,no face detected
H220115.JPG,-,-,-,78.85,bad,no face detected
H170103.JPG,-,-,-,58.41,bad,no face detected
H220045_01_01.JPG,648,851,0.787,72.27,2048x2048,acceptable score; frontal & higher res helps; slightly soft image; avoid motion blur
H220149.JPG,-,-,-,285.88,bad,no face detected
H190187.JPG,-,-,-,87.33,bad,no face detected
H230085_01_01.JPG,-,-,-,7.93,bad,no face detected
H220122.JPG,-,-,-,378.63,bad,no face detected
BISK346.png,-,-,-,295.58,bad,no face detected
BISK330.png,-,-,-,63.43,bad,no face detected
H140188_01_01.JPG,-,-,-,95.19,bad,no face detected
BISK403.png,-,-,-,139.59,bad,no face detected
H25011200000_01_01.JPG,-,-,-,33.1,bad,no face detected
H20004200000_01_01.JPG,-,-,-,22.72,bad,no face detected
H160134_01_01.JPG,719,909,0.571,61.46,2048x2048,very low detection score; improve lighting; slightly soft image; avoid motion blur
H230098.JPG,-,-,-,90.3,bad,no face detected
H250063_01_01.JPG,470,584,0.703,54.65,1024x1024,low score; try frontal face & better lighting; slightly soft image; avoid motion blur
H230099_01_01.JPG,654,850,0.797,118.19,2048x2048,acceptable score; frontal & higher res helps; sharp image
H220306.JPG,-,-,-,128.25,bad,no face detected
H200050.JPG,-,-,-,267.03,bad,no face detected
BISK244.png,-,-,-,136.06,bad,no face detected
H230011_01_01.JPG,-,-,-,40.15,bad,no face detected
H160108.JPG,-,-,-,352.94,bad,no face detected
H250096.JPG,-,-,-,175.7,bad,no face detected
H250108_01_01.JPG,-,-,-,25.43,bad,no face detected
H123456.png,-,-,-,56.34,bad,no face detected
H250086_01_01.JPG,-,-,-,8.48,bad,no face detected
H250024_01_01.JPG,651,937,0.555,70.57,2048x2048,very low detection score; improve lighting; non-frontal or tilted face; slightly soft image; avoid motion blur
H25007100001_01_01.JPG,492,531,0.581,29.89,1024x1024,very low detection score; improve lighting; image blurry; stabilize camera
BISK298.png,-,-,-,189.82,bad,no face detected
H230084.JPG,-,-,-,118.08,bad,no face detected
BISK333.png,-,-,-,141.13,bad,no face detected
H250072_01_01.JPG,698,971,0.64,33.39,2048x2048,low score; try frontal face & better lighting; non-frontal or tilted face; image blurry; stabilize camera
H190156.JPG,-,-,-,42.16,bad,no face detected
H220108_01_01.JPG,-,-,-,20.26,bad,no face detected
H220101_01_01.JPG,685,836,0.781,12.09,2048x2048,acceptable score; frontal & higher res helps; image blurry; stabilize camera
H180113.JPG,-,-,-,24.61,bad,no face detected
H230090_01_01.JPG,463,566,0.706,30.13,1024x1024,low score; try frontal face & better lighting; image blurry; stabilize camera
H210111.JPG,-,-,-,62.53,bad,no face detected
H220078.JPG,-,-,-,130.04,bad,no face detected
H140076.JPG,-,-,-,79.42,bad,no face detected
BISK213.png,-,-,-,114.16,bad,no face detected
H210088.JPG,-,-,-,22.34,bad,no face detected
H190023.JPG,-,-,-,25.05,bad,no face detected
BISK302.png,-,-,-,300.32,bad,no face detected
H250074.JPG,-,-,-,42.31,bad,no face detected
BISK398.png,-,-,-,143.04,bad,no face detected
H250029.JPG,-,-,-,173.08,bad,no face detected
H20004000000_01_01.JPG,-,-,-,30.06,bad,no face detected
H220300.JPG,-,-,-,157.36,bad,no face detected
H22019200000_01_01.JPG,-,-,-,61.48,bad,no face detected
H220002_01_01.JPG,662,882,0.775,24.06,2048x2048,acceptable score; frontal & higher res helps; image blurry; stabilize camera
.png,-,-,-,61.24,bad,no face detected
H200082_01_01.jpg,-,-,-,16.51,bad,no face detected
H210163_01_01.JPG,-,-,-,39.05,bad,no face detected
H220096.JPG,-,-,-,43.55,bad,no face detected
BISK427.png,-,-,-,259.76,bad,no face detected
H170025.JPG,-,-,-,64.33,bad,no face detected
H25002900003_01_01.JPG,403,634,0.585,29.8,1024x1024,very low detection score; improve lighting; non-frontal or tilted face; image blurry; stabilize camera
H200015.jpg,45,50,0.513,70.63,bad,face too small; retake closer; very low detection score; improve lighting; slightly soft image; avoid motion blur
H230145_01_01.JPG,-,-,-,45.17,bad,no face detected
H190043.JPG,-,-,-,43.43,bad,no face detected
H180076.JPG,-,-,-,31.02,bad,no face detected
H25001300001_01_01.JPG,-,-,-,34.47,bad,no face detected
BISK377.png,-,-,-,40.74,bad,no face detected
H210242.JPG,-,-,-,126.32,bad,no face detected
H19018700000_01_01.JPG,-,-,-,27.42,bad,no face detected
H25004100000_01_01.JPG,-,-,-,18.97,bad,no face detected
BISK292.png,-,-,-,80.32,bad,no face detected
H180045.JPG,-,-,-,72.97,bad,no face detected
H190136.JPG,-,-,-,250.21,bad,no face detected
H170110_01_01.JPG,-,-,-,19.03,bad,no face detected
H210241_01_01.JPG,-,-,-,48.3,bad,no face detected
H210144.JPG,-,-,-,200.91,bad,no face detected
H150153_01_01.JPG,714,893,0.585,37.92,2048x2048,very low detection score; improve lighting; image blurry; stabilize camera
H180029.JPG,-,-,-,24.63,bad,no face detected
H230096_01_01.JPG,669,839,0.794,46.76,2048x2048,acceptable score; frontal & higher res helps; image blurry; stabilize camera
H190100.JPG,-,-,-,445.69,bad,no face detected
H25005700000_01_01.JPG,-,-,-,15.84,bad,no face detected
BISK408.png,-,-,-,89.37,bad,no face detected
H250076.JPG,-,-,-,203.6,bad,no face detected
H180117_01_01.JPG,-,-,-,90.31,bad,no face detected
H220092.JPG,-,-,-,232.04,bad,no face detected
H21026100000_01_01.JPG,-,-,-,32.46,bad,no face detected
H230064_01_01.JPG,-,-,-,49.39,bad,no face detected
H250053.JPG,-,-,-,22.07,bad,no face detected
H250083.JPG,-,-,-,16.55,bad,no face detected
H250048_01_01.JPG,-,-,-,85.4,bad,no face detected
H210064_01_01.JPG,-,-,-,24.75,bad,no face detected
H250082_01_01.JPG,-,-,-,45.27,bad,no face detected
H210093.JPG,-,-,-,159.35,bad,no face detected
H210268_01_01.JPG,-,-,-,34.55,bad,no face detected
BISK216.png,-,-,-,135.77,bad,no face detected
H150057_01_01.JPG,-,-,-,37.83,bad,no face detected
H250062_01_01.JPG,731,897,0.614,31.38,2048x2048,low score; try frontal face & better lighting; image blurry; stabilize camera
H200055.JPG,-,-,-,81.94,bad,no face detected
H220086_01_01.JPG,714,922,0.678,18.58,2048x2048,low score; try frontal face & better lighting; image blurry; stabilize camera
H160067_01_01.JPG,644,843,0.785,74.0,2048x2048,acceptable score; frontal & higher res helps; slightly soft image; avoid motion blur
H230037_01_01.JPG,456,584,0.617,39.77,1024x1024,low score; try frontal face & better lighting; image blurry; stabilize camera
H210089.JPG,-,-,-,13.98,bad,no face detected
H25002900002_01_01.JPG,-,-,-,69.61,bad,no face detected
H220201_01_01.JPG,-,-,-,35.07,bad,no face detected
H250088.JPG,-,-,-,134.59,bad,no face detected
H23004300000_01_01.JPG,-,-,-,26.47,bad,no face detected
H220215_01_01.JPG,650,768,0.79,31.86,2048x2048,acceptable score; frontal & higher res helps; image blurry; stabilize camera
BISK047.png,-,-,-,264.24,bad,no face detected
BISK115.png,-,-,-,230.38,bad,no face detected
BISK172.png,-,-,-,18.76,bad,no face detected
H250005_01_01.JPG,-,-,-,33.99,bad,no face detected
H200016.JPG,-,-,-,447.87,bad,no face detected
H160067.JPG,-,-,-,281.79,bad,no face detected
H220232_01_01.JPG,-,-,-,28.95,bad,no face detected
H250045.JPG,-,-,-,337.02,bad,no face detected
H210035.JPG,-,-,-,292.93,bad,no face detected
H17094_01_01.JPG,-,-,-,47.01,bad,no face detected
H250027.JPG,-,-,-,165.32,bad,no face detected
H23007900000_01_01.JPG,-,-,-,56.2,bad,no face detected
H220046.JPG,-,-,-,439.1,bad,no face detected
H180125_01_01.JPG,-,-,-,44.87,bad,no face detected
H250099.JPG,-,-,-,312.15,bad,no face detected
H250065_01_01.JPG,632,824,0.793,20.63,2048x2048,acceptable score; frontal & higher res helps; image blurry; stabilize camera
H230021.JPG,-,-,-,62.2,bad,no face detected
H23004200000_01_01.JPG,-,-,-,34.52,bad,no face detected
H230074_01_01.JPG,783,913,0.553,17.39,2048x2048,very low detection score; improve lighting; image blurry; stabilize camera
H210038_01_01.JPG,638,827,0.803,22.49,2048x2048,acceptable score; frontal & higher res helps; image blurry; stabilize camera
H180126.JPG,-,-,-,121.4,bad,no face detected
H230087.JPG,-,-,-,159.4,bad,no face detected
H210146.JPG,-,-,-,329.92,bad,no face detected
H210096_01_01.JPG,717,888,0.627,34.34,2048x2048,low score; try frontal face & better lighting; image blurry; stabilize camera
H210139_01_01.JPG,-,-,-,23.05,bad,no face detected
H230013_01_01.JPG,-,-,-,27.78,bad,no face detected
H210217.JPG,-,-,-,139.66,bad,no face detected
H250080.JPG,-,-,-,107.42,bad,no face detected
H140009_01_01.JPG,671,920,0.769,54.75,2048x2048,acceptable score; frontal & higher res helps; non-frontal or tilted face; slightly soft image; avoid motion blur
H180053.JPG,-,-,-,8.0,bad,no face detected
BISK328.png,-,-,-,82.49,bad,no face detected
H220278_01_01.JPG,-,-,-,21.93,bad,no face detected
